mol solvent,mol solute,with_sme,without_sme,attribution_data,normalized_attribution_data,substructure_smiles
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.876465207,-2.940881165,-0.06441593,-0.06432701,C
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.860127707,-2.940881165,-0.080753565,-0.08057849,C
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.94490594,-2.940881165,0.004024744,0.0040247114,O
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.952541066,-2.940881165,0.011659861,0.0116593065,O
CCCCCCCCCCCCCCCCCC(=O)O  ,OCC,-2.937748142,-2.940881165,-0.0031330585,-0.0031330432,CCCCCCCCCCCCCCCCCC(=O)O
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.162506506,-3.125803032,0.036703587,0.0366871,C
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.160327081,-3.125803032,0.034524202,0.034510486,C
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.171902934,-3.125803032,0.0460999,0.046067245,C
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.178031545,-3.125803032,0.05222845,0.052181017,C
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.171902934,-3.125803032,0.0460999,0.046067245,C
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.180210971,-3.125803032,0.054408073,0.054354426,C
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.083958904,-3.125803032,-0.04184413,-0.041819703,C
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.098599063,-3.125803032,-0.027204037,-0.02719731,C
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.094343289,-3.125803032,-0.03145981,-0.03144943,C
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.104727674,-3.125803032,-0.021075249,-0.02107212,C
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.088214678,-3.125803032,-0.037588358,-0.037570663,C
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.124611563,-3.125803032,-0.0011913776,-0.0011913768,C
CCCCCCCCCCCCCCCC(=O)O  ,OCC,-3.05981924,-3.125803032,-0.06598377,-0.06588818,C
