mol solvent,mol solute,with_sme,without_sme
CCCCCCCCCCC(=O)O,OCC,-3.791565786,-3.821102475
CCCCCCCCCCC(=O)O,OCC,-3.813608486,-3.821102475
CCCCCCCCCCC(=O)O,OCC,-3.80927025,-3.821102475
CCCCCCCCCCC(=O)O,OCC,-3.80927025,-3.821102475
CCCCCCCCCCC(=O)O,OCC,-3.787310012,-3.821102475
CCCCCCCCCCC(=O)O,OCC,-3.856782576,-3.821102475
CCCCCCCCCCC(=O)O,OCC,-3.745465884,-3.821102475
CCCCCCCCCCC(=O)O,OCC,-3.754862311,-3.821102475
CCCCCCCCCCC(=O)O,OCC,-3.718261914,-3.821102475
CCCCCCCCCCC(=O)O,OCC,-3.713018183,-3.821102475
CCCCCCCCCCC(=O)O,OCC,-3.816090272,-3.821102475
CCCCCCCCCCC(=O)O,OCC,-3.845427678,-3.821102475
CCCCCCCCCCC(=O)O,OCC,-3.438698895,-3.821102475
CC(=O)C(=O)O,OCC,-4.994579972,-5.608134036
CC(=O)C(=O)O,OCC,-4.952967901,-5.608134036
CC(=O)C(=O)O,OCC,-5.180132197,-5.608134036
CC(=O)C(=O)O,OCC,-5.008898212,-5.608134036
CC(=O)C(=O)O,OCC,-5.058209636,-5.608134036
CC(=O)C(=O)O,OCC,-5.674158001,-5.608134036
CC(=O)C(=O)O,OCC,-4.194817689,-5.608134036
C=CCCCCCCCCC(=O)O,OCC,-4.041234252,-4.087943367
C=CCCCCCCCCC(=O)O,OCC,-4.044959574,-4.087943367
C=CCCCCCCCCC(=O)O,OCC,-4.041168176,-4.087943367
C=CCCCCCCCCC(=O)O,OCC,-4.059440623,-4.087943367
C=CCCCCCCCCC(=O)O,OCC,-4.039761831,-4.087943367
C=CCCCCCCCCC(=O)O,OCC,-4.031086681,-4.087943367
C=CCCCCCCCCC(=O)O,OCC,-4.105062669,-4.087943367
C=CCCCCCCCCC(=O)O,OCC,-3.978261641,-4.087943367
C=CCCCCCCCCC(=O)O,OCC,-4.000611723,-4.087943367
C=CCCCCCCCCC(=O)O,OCC,-3.95861615,-4.087943367
C=CCCCCCCCCC(=O)O,OCC,-3.954840875,-4.087943367
C=CCCCCCCCCC(=O)O,OCC,-4.069505732,-4.087943367
C=CCCCCCCCCC(=O)O,OCC,-4.108688878,-4.087943367
C=CCCCCCCCCC(=O)O,OCC,-3.472234987,-4.087943367
CC1=CCC(CC1)C(C)(C)O,OCC,-4.492565407,-4.672814433
CC1=CCC(CC1)C(C)(C)O,OCC,-4.554828899,-4.672814433
CC1=CCC(CC1)C(C)(C)O,OCC,-4.532705058,-4.672814433
CC1=CCC(CC1)C(C)(C)O,OCC,-4.475352014,-4.672814433
