smiles,mpi,max_esp,min_esp,kurtosis,skewness,quantile(0.25),quantile(0.5),quantile(0.75),surface_area,"-10,10","-20,-10;10,20","-30,-20;20,30","-40,-30;30,40","-50,-40;40,50","-60,-50;50,60","-70,-60;60,70","-80,-70;70,80"
FC(Cl)C(F)(Cl)Cl,10.3924126,31.85375871,86.57039916,16.1796638,68.68757995,84.85401906,36.00301069,7.420081277,13.09153225,111.964045,25.16545112,6.101903257,4.403300637,0,0,0,0
FC(Cl)C(F)(F)C=O,16.7886471,29.93799099,79.79277773,5.635224364,61.26399887,81.0583703,34.0089327,16.68426258,12.36788748,81.20509483,35.88992878,18.81081718,5.763539207,0,0,0,0
FC(Cl)C(F)C(F)Cl,15.84883932,32.04493266,80.01610963,7.51496508,63.06905604,81.04675484,33.10406976,13.22541455,13.8542202,93.26281014,37.44223647,15.76792775,7.448895636,0,0,0,0
FC(Cl)CC(F)(F)Cl,19.48315306,32.49132787,77.1834663,5.788940833,61.7053219,76.91413342,31.68481028,15.20551193,13.77965421,75.06338097,48.74896788,16.06050187,13.43433928,0,0,0,0
FC(Cl)OCC(F)(F)F,20.45405011,39.57381998,75.91312612,6.970607886,63.73986117,78.42883331,28.71660775,16.6929432,14.53400098,82.29326118,43.15102221,16.3148155,14.6500384,3.116462715,0,0,0
FC(F)(C)C(F)(F)C,15.65708677,15.01216425,84.53499266,0.215246817,50.18108737,75.53109033,46.89846805,16.30417922,13.17652956,55.90250884,92.43286116,0,0,0,0,0,0
FC(F)(C)C(F)(O)C,19.44381326,46.49675671,67.8449723,10.59819431,55.67911466,74.12760838,48.46824384,14.94379732,13.86209555,62.13136191,72.8642801,13.77761908,2.405174672,2.572007598,0.236346644,0,0
FC(F)(F)C(=O)C=O,20.91260226,36.33862614,78.21836714,5.476633427,62.54133824,79.39454791,27.20166452,21.30839602,10.58592078,69.96631088,29.37384491,12.48588503,14.7136017,0.440207485,0,0,0
FC(F)(F)C(F)(C)C,17.52211415,17.53242136,79.21735228,0.830819679,49.5891568,76.54850492,48.73460821,18.27245828,13.06324429,52.36902391,91.91577049,3.116715597,0,0,0,0,0
FC(F)(F)C(F)(F)C,14.88545857,21.68495111,86.40484707,2.962078168,60.17777241,80.23124431,28.46510942,20.64614816,11.2113832,79.67372588,37.80756633,14.65451779,0,0,0,0,0
FC(F)(F)C(F)(F)F,2.997457211,18.21905296,99.20633054,17.76915681,72.24658609,90.78121793,38.8640715,5.12167826,9.06805995,101.7733205,12.00761971,0.68651979,0,0,0,0,0
FC(F)(F)C(F)(F)O,11.0926263,59.69673202,82.76334602,48.5416767,89.21648308,84.51421336,29.26953304,1.769435904,9.878645398,99.48056699,11.91590625,2.41502777,2.13637072,1.977138119,2.308872703,0.915587451,0
FC(F)(F)C(F)(N)C,17.76974622,34.03067976,71.90475032,6.188706193,57.78070513,79.26165143,33.90957644,16.27783676,12.50556428,70.75975429,53.30559045,13.84578542,4.893179841,0,0,0,0
FC(F)(F)C(F)(O)C,16.24100073,47.28157085,75.5855639,14.91758954,65.50952458,79.48177306,28.03204572,17.15810219,11.91249975,78.09254609,49.57537358,5.274852717,2.252801681,2.390167637,0.329678295,0,0
FC(F)(F)C(N)(C)C,19.68074089,31.91853727,60.99939883,5.76739696,49.02313654,75.81350852,52.45976323,16.47118712,14.15895717,64.49663208,69.26293595,17.82542544,4.848956534,0,0,0,0
FC(F)(F)C(O)(C)C,16.55971882,40.27929582,68.67730917,10.51735428,52.38908936,79.30267529,51.24238567,14.32798207,13.63288291,79.99394818,58.71822948,9.901127344,2.341017592,1.142967412,0,0,0
FC(F)(F)c1ccccc1,16.51920037,20.34701582,81.78694823,1.933221682,53.14352939,76.82636679,37.67754738,18.55147242,15.88701795,74.35609022,83.97715592,12.34586387,0,0,0,0,0
FC(F)(F)CC(OC)=N,20.20353904,30.63529426,64.45450765,4.763289875,53.64249692,75.67212642,39.33772376,17.91947328,15.36749435,65.43384915,69.07675819,25.43110648,6.454736177,0,0,0,0
FC(F)(F)OC(CC)=O,17.90360976,21.85892962,66.70366708,5.963825008,45.65637197,81.15428356,45.46731243,17.70694243,14.78050011,82.02495907,54.0417649,25.32472149,0.166154542,0,0,0,0
FC(F)(F)OC1CCCC1,11.95226668,14.73094127,76.04327356,4.733181066,43.82329951,82.31228185,51.17993216,11.93787757,17.1707216,119.1867983,60.29140833,1.783033396,0,0,0,0,0
FC(F)(N)C(C)(C)C,13.91490932,29.9488498,68.37307605,8.838222537,49.40816957,82.31830787,46.09119286,9.975285755,15.56459054,100.3380917,53.83284338,12.44858482,1.401680119,0,0,0,0
FC(F)(O)C(F)(C)C,18.44762357,49.1612708,75.2156163,14.38050251,60.54750719,74.83595622,45.8765519,13.13218971,13.83201708,71.52144481,68.41838347,8.197024871,2.347891546,2.416543346,0.837551955,0,0
FC(F)(O)C(F)(F)O,19.91374613,55.32344141,76.06396966,21.61398782,75.65874154,78.9596687,21.00154858,1.939558208,10.67767135,83.46690008,22.82255897,8.834974071,4.006087479,4.24888066,4.35678874,0,0
FC(F)C(Cl)(Cl)Cl,11.12377353,30.80680324,85.63646951,14.18678699,66.78190056,84.49248177,34.4059147,7.353927321,12.97189283,101.6444619,34.35590719,6.694591812,3.953499101,0,0,0,0
FC(F)OC(F)(F)C=O,18.68356578,33.56036682,77.60253394,5.767689595,61.6018078,80.9080176,29.43260763,18.344012,12.31587398,82.19740418,28.33696951,18.52335869,12.18287763,0,0,0,0
FC(F)OCC(F)C(F)F,22.79957955,30.72507169,74.00989951,2.310596404,55.63166791,77.48866041,32.27938497,26.80584193,14.99882167,64.95720612,58.4601177,32.62222291,7.317773273,0,0,0,0
FC(F)OCOC(F)(F)C,19.37494928,31.60932647,76.86639859,4.611289185,56.89496129,76.56252432,38.08696203,17.9878919,16.43257923,71.41125632,81.7019009,14.86118659,7.202066192,0,0,0,0
Fc(nc1F)nc(F)c1F,16.00554158,30.69534978,79.30832218,5.491540103,60.40702873,83.65387942,34.33164807,17.89367917,11.94284874,87.92117343,25.63491151,23.09771258,1.511802474,0,0,0,0
FC1=CNC(=O)N=C1N,37.25479285,47.29605102,40.4655332,5.463355379,44.88431743,71.89270791,56.33879202,32.75874458,13.80957862,47.43019367,31.4266493,23.59071696,26.72785389,20.09426037,4.284195815,0,0
Fc1cc(ccc1)N=C=S,13.47167959,23.17855858,83.5273564,4.428549373,55.91706291,81.7566611,40.79236378,13.30678776,18.33549426,108.4017756,64.49508942,17.96610498,0,0,0,0,0
Fc1cc(F)c(C)cc1F,14.00981949,23.07335556,79.84305618,4.077465068,49.62894866,80.45795465,46.47034377,14.69106607,15.8216605,85.30497969,75.87115503,8.964205282,0,0,0,0,0
Fc1cc(F)c(F)cc1F,15.37399863,27.20049239,85.94817795,4.734152689,56.0576258,78.92067777,53.6253195,13.52160371,13.54528716,86.7514557,50.26441599,13.22249177,1.136836549,0,0,0,0
Fc1ccc(F)c(C)c1F,12.88745648,21.68061187,79.84113902,4.694290827,50.32862263,80.80158653,45.1493111,12.04697819,15.75764473,96.5489424,65.04467245,8.01901515,0,0,0,0,0
Fc1ccc(F)c(F)c1F,16.47064393,27.27357109,85.9538006,4.850432296,57.56967291,77.33083315,48.49193381,14.01166645,13.55422882,75.12541221,59.94512322,14.64931923,1.729055337,0,0,0,0
Fc1ccccc1C(=O)NO,19.20352358,35.36286,62.19715426,7.286137074,44.40439716,85.58538723,46.84614974,18.88692614,17.59946752,88.63802541,49.6681005,39.24998187,7.239472218,0,0,0,0
Fc1ccccc1N(=O)=O,26.59822778,27.65661324,62.95952817,3.024468716,46.4103736,70.39389775,53.1102351,25.73054557,15.36153689,51.89105244,48.41063857,59.07111884,6.974530153,0,0,0,0
Fc1ccccc1NC(=O)N,21.12640134,43.06475044,56.58388269,10.76329973,54.11314151,78.07896121,37.05807227,16.43164078,18.66788839,94.60567109,57.4604076,16.70261848,19.32347041,5.510872425,0,0,0
Fc1ccccc1NC(C)=O,18.3557663,40.66766124,57.30965191,11.46779429,45.01619865,80.09237352,44.74553606,16.81512717,19.63718919,98.66351615,74.336687,15.35613431,12.10690626,1.130166279,0,0,0
Fc1cnc(C)c(F)c1F,14.20895309,20.1216591,71.91524065,4.140846284,46.06006176,79.70788291,52.62646434,14.55982945,15.18426374,89.00041394,69.32123306,6.564353001,0,0,0,0,0
Fc1nc(F)c(F)cc1F,19.06794038,35.14828103,73.67837363,4.737126508,56.92334834,79.55803116,36.34956203,23.16059298,12.77743753,64.21081288,61.07956144,13.66730781,6.087797873,0,0,0,0
Fc1ncc(F)c(F)c1F,16.55017371,26.80634281,73.63133799,3.416019708,53.34319621,82.68529983,36.94895989,22.36992226,12.76003823,74.30598631,54.93642656,15.22950117,0.430135955,0,0,0,0
FCC(Cl)C(F)(F)Cl,14.73926754,27.77998818,83.07442101,5.086107515,60.0417665,81.59539878,35.5735262,15.70207528,13.81249367,90.02934603,40.8640996,21.54822655,1.136227827,0,0,0,0
FCC(F)(F)C(Cl)Cl,15.41192792,27.04954112,83.9959151,5.334745468,61.6123376,79.46763192,32.3149297,13.62819641,13.91572488,91.42560537,39.9184086,22.59482584,0.490040185,0,0,0,0
FCC(F)C(F)(CF)CF,24.18016316,28.2037307,74.12993147,1.429708289,51.27616177,72.71158318,46.22048738,25.67801238,15.50391561,47.68826983,77.72127033,40.38404824,1.727441605,0,0,0,0
FCC(OC)C(F)C(F)F,18.71177605,25.07667746,65.31064756,3.899772296,49.31503939,75.84652468,47.26154736,16.6241388,16.40719298,71.12541671,82.73264148,20.6935487,0.415533106,0,0,0,0
FCCC(CC)C(F)(F)F,16.10943653,18.81089074,78.56303607,2.497256254,47.55325604,78.39818449,52.26360018,16.65064258,17.62754926,80.40564715,97.50394824,7.117474616,0,0,0,0,0
FCCC(OC)C(F)(F)F,17.05198805,24.14878666,73.99386254,4.758699958,48.0819648,81.08148929,48.50990829,17.18334672,16.73737686,89.46274453,62.55869924,25.66754623,0,0,0,0,0
FCCOC(F)(F)C(F)F,17.25481217,31.55943264,78.88570129,5.297498261,56.44209445,79.32200528,39.04531566,19.26054256,15.21171709,77.5694514,73.61772402,8.306692248,5.61844233,0,0,0,0
FCOC(CF)C(F)(F)F,24.51428097,32.26475739,71.54571162,2.793354946,53.91553181,73.22592045,36.40509681,27.0635694,14.85571631,57.49537313,52.853144,41.56160432,10.26751855,0,0,0,0
FCOC(F)(F)C(F)CF,21.36180252,24.93454357,77.97595006,1.697898319,54.23764855,74.81890637,34.20901282,23.95263639,15.1982482,59.55700118,76.32721646,29.11706236,0,0,0,0,0
FCOCC(F)C(F)(F)F,24.61678472,29.52502097,68.11764273,1.800277953,56.43336646,72.87382121,21.94059542,29.37789648,15.45461457,47.84081682,71.30989677,43.06767644,4.896229966,0,0,0,0
FP(F)C(Cl)(Cl)Cl,5.541946354,17.19661166,90.77303719,7.946077382,57.51355791,88.40567438,39.86180633,6.365816325,13.42373107,132.2792239,17.92397864,0.169957493,0,0,0,0,0
N#CC(c1ccccc1)=O,19.65967979,23.19764845,68.51230263,4.861468332,44.4232895,81.95637218,51.17617429,21.57339754,17.05225159,74.31697814,63.03609925,42.93156261,0,0,0,0,0
N#CC1(CC2)CC2CC1,22.33930773,13.61227423,53.81692183,14.26220127,28.58009376,95.80583288,66.99813215,19.26534733,17.29685103,62.27050657,93.18997786,12.12555583,13.42024778,1.294691954,0,0,0
N#Cc1cc(C#N)ccc1,28.4002651,30.4924857,64.62914605,3.605575167,44.91175532,74.39916668,66.85412235,27.98625609,17.13618867,44.8944654,67.62687166,53.04228127,15.41295167,0,0,0,0
N#Cc1cc(C=O)ccc1,26.01802366,28.87005461,62.66410003,4.537665353,43.37689408,76.88156102,59.74765785,26.71122411,17.19111115,59.38681549,56.63767916,59.01752852,6.387296829,0,0,0,0
N#Cc1ccc(C#N)cc1,27.73233863,28.30462623,65.47451554,3.417849633,44.89179059,74.17652897,66.94970322,27.83625172,17.14635797,44.2209184,69.18478474,55.276148,12.37854885,0,0,0,0
N#Cc1ccc(C=O)cc1,25.78635164,30.0421477,62.82216946,4.494424857,44.01245493,76.5154799,58.7374693,26.51487921,17.20241226,60.32712245,55.06861753,57.38568962,8.741050401,0,0,0,0
N#CCc(cc1)ccc1Cl,21.22925289,26.7788308,58.60357792,6.689602163,45.4925379,82.95589056,42.65184513,25.77642524,19.22772284,95.77350177,40.06724266,52.87280494,9.504450628,0,0,0,0
