smiles,mpi,max_esp,min_esp,kurtosis,skewness,quantile(0.25),quantile(0.5),quantile(0.75),surface_area,"-10,10","-20,-10;10,20","-30,-20;20,30","-40,-30;30,40","-50,-40;40,50","-60,-50;50,60","-70,-60;60,70","-80,-70;70,80"
ClCCCCCCl,16.06942045,18.03772334,82.78196398,1.523395679,47.96706527,79.04565517,54.0111389,17.90891653,15.73259571,8.0660762,25.59209459,1.58299808,0,0,0,0,0
ClC(=C(Cl)Cl)C(=C(Cl)Cl)Cl,3.732624599,16.86979227,94.60275976,14.95483996,68.34165617,88.85852849,36.94206454,3.860331192,18.90510983,20.21420147,4.885188377,0.243908175,0,0,0,0,0
ClC1(Cl)C(=C(Cl)C(=C1Cl)Cl)Cl,4.692392115,16.79663565,93.73138892,10.08487986,63.86421312,87.74360207,37.05912617,5.073267742,19.03574831,19.98676329,5.727891854,0.209054181,0,0,0,0,0
ClCCCCCC,11.75512326,13.76371651,81.51458216,9.140919201,35.21196467,92.73961634,56.1336241,11.72532245,16.38911314,13.2136574,15.56780257,0,0,0,0,0,0
ClC[C@H](CCCC)CC,7.672826553,13.60850955,82.33037523,10.2039895,40.73800725,90.26044347,46.2005872,8.262683816,20.51202697,18.51065963,12.6325361,0,0,0,0,0,0
ClCCCCCCCCCCCC,6.956401606,13.80175005,81.78602469,16.24904143,36.48703442,92.762018,48.26626054,7.635908826,30.78923549,27.79753133,14.47694983,0,0,0,0,0,0
FC(F)(F)F,3.938714153,22.0173296,98.89293673,19.45776439,73.66041377,89.42360017,37.36273402,5.874248024,4.107883691,6.714290035,2.059444479,1.706403673,0,0,0,0,0
FC(=C)F,11.53027194,19.8580646,88.6005691,4.228500775,57.79238016,81.30993445,38.81536497,12.41633075,4.986300071,5.574664627,6.200349171,3.379321867,0,0,0,0,0
BrC,18.18538399,17.83304939,84.85849441,0.246773017,51.75780943,75.32725326,40.64692534,21.43703118,5.039523017,2.242949838,14.18104609,3.173218201,0,0,0,0,0
BrCBr,14.23534708,25.57335006,87.41136934,6.017098249,63.07624334,82.43814314,31.46879975,13.71695281,7.56528991,6.971872904,5.738306115,13.03143819,0,0,0,0,0
BrC(Br)Br,9.464159431,30.28128259,92.75426599,15.59298955,70.56634589,84.90902856,33.99273777,8.107861223,9.966066459,10.76916064,4.159847452,5.144174744,4.628053523,0,0,0,0
BrCC,16.14924006,15.99268872,83.48253217,1.312397089,47.09470798,76.88449801,56.73726311,16.47596633,7.640379949,4.16619423,16.66812245,0,0,0,0,0,0
BrCCBr,19.35126038,23.93270551,78.13959986,2.001083006,56.47963124,77.53072421,31.96515623,25.78641435,9.984849887,5.614562111,11.83099746,21.19906406,0,0,0,0,0
BrC(Br)C(Br)Br,11.84504832,28.76387748,86.81359491,11.00323441,65.67129653,82.93172859,36.1914146,10.12680583,14.36694687,12.38529064,9.085030509,8.299292691,6.937508886,0,0,0,0
BrCCC,13.6001909,15.64087194,83.26162675,2.795408496,45.86109349,80.71204355,49.56187504,14.30201131,9.995329739,6.568552197,16.44913046,0,0,0,0,0,0
BrC(C)C,14.52411592,14.6885496,83.09817604,2.813705243,43.68505688,79.2178753,55.84766576,13.19422656,9.950354566,6.7493675,15.92311043,0,0,0,0,0,0
Br[C@@H](CBr)C,12.32632327,19.1952801,89.64005103,1.817261731,53.40600919,82.57678806,45.86728678,15.54369114,12.21789664,10.74813151,10.9246993,2.625402994,0,0,0,0,0
BrCCCBr,22.35271727,23.11129373,74.64297906,0.643348931,52.67599408,73.02048355,36.48047962,25.72244289,12.17415396,3.597214696,19.91667079,26.33147254,0,0,0,0,0
BrC(CBr)CBr,14.12820602,26.2999896,82.4463645,3.847350115,57.90193383,83.14183554,38.11817576,19.31198657,14.38054314,11.02036299,11.40530375,14.46412331,0.186199574,0,0,0,0
BrCCCC,12.1946045,15.39625821,83.03054638,4.286432038,44.21222873,84.52085623,49.86884869,12.63593954,12.4805747,8.991912983,16.47977265,0,0,0,0,0,0
Br[C@@H](CC)C,12.31820799,14.37982283,82.68476875,4.271853706,43.19821349,84.91436289,52.79377705,12.52318676,12.26448158,8.989193159,15.99065004,0,0,0,0,0,0
BrCC(C)C,12.70689142,15.19658203,83.021603,4.188216876,43.1263221,84.68925361,51.69744224,13.46485372,12.18151254,8.436812064,17.09233246,0,0,0,0,0,0
BrC(C)(C)C,13.32127634,13.08181046,82.59806122,4.123680604,41.35997662,82.27847133,54.8247174,12.09407459,11.96543641,8.788874463,15.77347468,0,0,0,0,0,0
BrCCCCC,11.04144205,15.29212017,82.90823299,6.185034993,42.66073589,89.95478053,50.44362325,11.38954512,14.97050824,11.70362426,15.84676357,0,0,0,0,0,0
BrCCCCCC,9.990165049,15.2877671,82.87695766,7.31511608,42.72401413,89.85882239,48.87185205,10.01410984,17.22801566,14.01677392,15.61298698,0,0,0,0,0,0
BrCCCCCCC,9.440412566,14.98699388,82.79303985,7.994569097,41.91552222,90.19357684,49.15519937,9.499094538,19.70888138,16.05736627,16.52881694,0,0,0,0,0,0
BrCCCCCCCCCCCC,6.63179027,14.63227357,82.91253965,13.96278608,39.47769127,91.92216061,47.10815966,7.448450494,31.46698315,28.10360819,15.31510891,0,0,0,0,0,0
IC,13.89591569,15.275987,88.77118972,0.651930976,52.25699805,79.98290325,42.60333099,17.71132728,6.043445301,4.641872656,11.89395287,0,0,0,0,0,0
ICCC,11.20270432,14.24073581,86.91105915,2.720995951,47.15659847,83.24385112,49.26194606,12.54319334,10.92286034,8.920538746,13.07499332,0,0,0,0,0,0
IC(C)C,12.11953812,13.85560159,86.66560294,2.787502104,45.55381817,82.61570438,53.92051076,12.34585085,10.8545745,8.720812119,13.38554545,0,0,0,0,0,0
ICCCC,10.67984821,14.3415914,86.11109417,3.71056752,45.65890372,85.24990794,51.63793508,11.17202857,13.0166266,10.97066826,13.08093019,0,0,0,0,0,0
I[C@H](CC)C,10.83245418,12.97879242,86.11922688,3.652896883,44.34497145,84.80453169,51.56700446,11.73722389,13.14668764,10.58654146,14.27755547,0,0,0,0,0,0
ICC(C)C,10.1214201,13.57410414,86.82980783,3.609116525,46.86636798,85.79578462,46.80066686,12.63759576,13.09824061,10.53582006,14.28509898,0,0,0,0,0,0
IC(C)(C)C,11.53817468,12.36598648,86.33108905,3.855249593,42.48471542,84.17190878,54.34999708,11.50208987,12.84368902,10.49321223,13.80108538,0,0,0,0,0,0
ICCCCC,10.09655255,13.17617039,86.34704099,5.129388305,42.43815182,88.02746956,52.70342987,10.4330502,15.65554654,13.54280572,13.11597365,0,0,0,0,0,0
ICCC(C)C,10.15529174,14.83344857,85.98322963,4.896512139,43.61867546,87.87547033,51.87636025,11.08660472,15.16990565,13.04216836,13.1733429,0,0,0,0,0,0
BrCCl,15.16350364,25.61337108,86.21765888,5.587142248,63.02179023,81.39078733,29.54412089,13.47377967,6.90941299,6.281681801,5.569735502,13.89779757,0,0,0,0,0
BrCCCl,13.58148711,19.10187194,90.24579238,1.455425893,56.42738066,81.85724733,37.95113082,19.99925613,9.482950006,8.455718127,8.939804818,5.96567034,0,0,0,0,0
BrC(Cl)Cl,9.603722983,31.18122487,92.31961229,18.02179232,72.54259786,84.80508863,33.87762436,7.298543165,8.683960449,9.894011414,3.180689812,4.669000577,6.121135261,0,0,0,0
BrC(Br)Cl,9.634831569,30.89290322,92.43934661,16.73897995,71.50515739,84.70992201,33.77720044,7.801047929,9.305764201,10.31831895,3.635812321,4.873660991,5.574021339,0,0,0,0
Br[C@@H](CBr)CCl,22.64886715,29.64957657,73.17458823,2.915672674,57.69635217,75.17335317,27.3218555,27.07949567,13.65179249,6.170666549,14.3381678,27.95345989,15.13981036,0,0,0,0
Clc1ccccc1,12.84203021,16.57475807,87.04257321,1.824799351,55.2628113,79.91482695,35.5529922,14.70542324,11.91915838,8.657265385,15.88485968,0.28051051,0,0,0,0,0
Clc1c(Cl)cccc1,12.55612105,19.75646726,82.6871803,4.279081534,58.76792986,82.12219727,30.9206049,12.55245395,13.59497517,10.57959837,12.8507754,7.674493341,0,0,0,0,0
Clc1cc(Cl)ccc1,9.602312469,20.94439749,91.08216055,6.544512281,63.4471813,83.8414557,32.96774133,9.654735269,13.69375557,13.4401356,6.755024671,6.531336529,0,0,0,0,0
Clc1ccc(Cl)cc1,9.834602796,19.26710658,90.91329517,5.980820378,62.94380636,83.9026171,33.33038749,10.35498403,13.70030503,13.2875929,6.679767777,7.919833819,0,0,0,0,0
Clc1c(Cl)ccc(Cl)c1,8.013649134,22.85276512,86.9058997,11.22249675,65.2744939,86.51085458,36.80666769,7.223062799,15.36672768,14.77102751,6.656980064,9.082270175,0,0,0,0,0
Clc1c(Cl)cccc1Cl,10.36323622,23.40751864,86.45551374,8.508401026,63.84662462,82.75369593,33.64401118,7.760705079,15.24416472,13.17440661,8.913558149,12.79888788,0,0,0,0,0
Clc1c(Cl)cc(Cl)c(Cl)c1,6.723415684,23.13921674,90.33616951,14.04096434,65.05765843,87.53945733,42.87125124,5.983484296,17.02932911,17.40097869,5.363196512,5.836535402,0,0,0,0,0
Clc1c(Cl)cc(Cl)cc1Cl,6.596063701,22.37298073,90.30883257,13.71184907,64.51787995,87.89966583,42.50699683,5.790672678,17.0073953,17.43714665,5.316206837,5.563543619,0,0,0,0,0
Clc1c(Cl)c(Cl)ccc1Cl,8.419935,25.01277746,89.75956583,14.60175022,67.94963601,84.16670728,39.03630855,5.084149429,16.88664348,16.84370129,4.931823119,10.20840669,0,0,0,0,0
Clc1c(cccc1)C,11.38471853,15.78599024,85.61939936,2.516329703,52.43906236,80.57753375,42.1726151,10.96152305,14.19379215,11.30721865,14.99294128,0,0,0,0,0,0
Clc1ccc(cc1)C,12.99647178,15.95593151,85.3765134,1.554555184,50.82292822,79.22086425,44.58567814,13.33520752,14.41982652,9.682618619,19.31087734,0,0,0,0,0,0
